No,Cinsiyet,Yas,MedDur,Cocuk,Egitim,StrKay,Sigara,op1,op2,op3,op4,op5,op6,mast1,mast2,mast3,mast4,mast5,mast6,mast7,pn1,pn2,pn3,pn4,pn5,pn6,pn7,pn8,pn9,pn10,pn11,pn12,pn13,pn14,pn15,pn16,pn17,pn18,pn19,pn20,lifsat1,lifsat2,lifsat3,lifsat4,lifsat5,pss1,pss2,pss3,pss4,pss5,pss6,pss7,pss8,pss9,pss10,sest1,sest2,sest3,sest4,sest5,sest6,sest7,sest8,sest9,sest10,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,pc12,pc13,pc14,pc15,pc16,pc17,pc18,Rop2,Rop4,Rop6,Rmast1,Rmast3,Rmast4,Rmast6,Rmast7,Rpss4,Rpss5,Rpss7,Rpss8,Rsest3,Rsest5,Rsest7,Rsest9,Rsest10,Rpc1,Rpc2,Rpc7,Rpc11,Rpc15,Rpc16,toptim,tmast,tposaff,tnegaff,tlifesat,tpstress,tslfest,tmarlow,tpcoiss
138,1,27,1,2,3,1,1,5,1,5,1,5,1,1,4,1,1,4,1,4,4,4,3,4,2,5,4,4,5,2,3,3,4,2,4,4,4,4,5,4,5,5,5,5,3,2,2,5,5,4,2,4,3,1,3,4,4,1,4,1,3,3,3,1,2,1,0,1,0,0,0,0,0,0,0,4,2,2,3,5,1,5,2,3,3,5,5,2,1,2,4,2,5,5,5,5,4,4,4,4,1,1,2,2,3,4,4,2,4,3,2,4,1,1,4,2,30,25,41,33,23,23,35,2,48
184,2,34,4,1,5,5,2,4,1,4,1,5,1,1,4,1,1,4,3,1,4,5,3,4,1,4,3,4,3,1,4,4,4,2,3,1,5,3,2,2,6,7,6,7,5,2,1,2,5,5,2,4,4,1,2,4,4,1,1,1,4,1,4,1,1,0,1,1,0,1,0,1,1,0,1,3,4,2,4,5,3,3,1,2,2,5,3,2,2,4,4,2,2,5,5,5,4,4,4,2,4,1,1,2,2,4,4,4,4,4,3,2,3,1,2,2,28,26,37,25,31,16,37,6,43
183,1,35,1,2,4,7,2,2,4,5,5,2,2,3,4,3,3,2,3,2,2,2,3,1,2,1,1,2,1,1,3,1,1,2,1,1,1,1,2,2,1,1,1,1,1,3,5,4,3,3,3,3,3,4,3,2,3,2,2,2,1,3,3,3,3,0,0,1,1,1,0,1,1,0,0,3,2,3,4,3,2,4,2,4,3,4,1,4,2,2,2,2,3,2,1,4,2,2,2,2,3,3,3,3,3,3,3,2,2,2,3,4,2,2,4,4,16,17,11,20,5,34,23,5,52
144,2,43,4,1,2,2,2,4,3,3,3,4,3,3,4,2,2,4,4,4,3,5,1,1,5,5,1,4,1,5,5,1,1,1,1,5,1,1,5,5,1,1,2,2,2,4,4,4,2,1,5,1,1,1,5,4,4,1,1,1,3,4,3,3,4,0,1,1,1,0,0,0,0,0,0,3,5,1,1,1,1,5,3,1,3,3,1,4,1,5,5,1,1,3,3,3,2,3,3,1,1,4,5,5,5,4,4,1,2,1,3,1,1,3,1,1,20,18,16,39,8,42,27,3,29
57,1,50,4,1,4,1,2,4,3,1,4,4,3,2,4,2,2,3,2,3,1,1,1,3,1,5,3,3,3,1,5,1,1,1,1,1,1,1,1,1,5,5,5,6,6,3,2,3,5,4,1,5,5,3,2,4,4,1,4,1,3,1,3,1,1,0,1,1,0,0,0,1,1,0,1,3,4,5,3,4,2,1,4,3,4,1,3,4,3,1,2,3,3,3,2,3,3,3,3,3,2,1,2,1,1,4,4,4,4,4,3,2,5,5,5,4,17,21,20,16,27,19,38,5,65
491,1,57,4,2,4,6,1,1,3,5,3,1,5,4,4,1,3,2,4,4,3,3,5,1,5,5,2,4,3,1,3,1,3,5,1,4,3,3,5,2,1,1,1,3,1,3,4,4,2,5,3,4,5,3,5,1,4,2,4,2,2,4,1,2,2,1,1,1,0,0,0,0,0,0,0,5,3,4,2,1,2,3,2,3,4,1,4,2,4,2,2,4,5,3,3,1,1,4,2,1,1,4,1,2,1,3,3,1,3,3,1,3,3,5,4,4,14,15,25,37,7,30,25,3,57
41,2,37,6,1,3,1,2,3,3,3,2,3,3,3,3,1,1,4,2,2,3,5,3,1,5,3,3,4,1,5,5,1,2,2,1,5,2,2,4,5,2,2,2,6,2,5,5,5,2,3,2,3,3,5,5,2,2,3,2,2,1,4,1,3,3,1,1,1,1,1,0,0,1,0,0,4,3,2,2,1,2,3,2,2,3,4,2,2,2,5,4,2,3,3,4,3,2,4,4,3,3,4,3,3,3,2,3,1,2,2,2,3,3,2,1,2,19,23,19,39,14,40,18,6,38
6,2,41,7,1,6,1,2,4,3,4,2,4,4,3,4,4,4,2,2,2,3,4,1,2,2,4,2,2,3,4,4,1,2,1,1,2,3,2,2,2,5,4,5,5,2,4,4,4,3,2,5,2,2,5,5,4,4,1,4,1,3,3,4,3,1,0,0,1,1,0,0,1,0,0,1,2,3,5,4,5,2,3,4,4,4,3,3,4,3,2,2,3,4,3,4,2,2,1,1,3,3,3,4,4,4,4,4,2,2,4,4,3,3,3,4,4,21,16,23,24,21,42,35,4,66
157,2,19,1,2,3,7,2,4,4,4,4,2,3,3,2,3,3,4,4,4,2,5,5,3,4,2,3,2,1,1,3,2,2,5,3,3,2,2,5,3,3,1,2,1,2,5,5,5,3,2,5,3,2,5,5,4,4,4,3,3,2,4,2,4,4,0,1,1,0,0,0,0,1,0,0,4,5,2,2,3,4,5,2,3,3,3,3,1,1,5,5,1,3,2,2,3,2,2,2,1,1,3,4,3,4,1,2,1,1,1,2,1,1,3,1,1,17,14,22,36,9,44,21,3,37
287,2,25,1,2,5,1,2,4,2,3,1,5,1,1,4,1,3,4,2,1,4,4,5,1,2,3,2,5,2,1,5,3,3,5,3,2,3,3,5,5,1,1,4,7,7,3,4,5,4,3,3,3,2,1,5,4,4,1,3,1,3,1,4,3,1,1,1,1,1,1,0,1,1,1,1,3,4,2,3,5,3,5,4,4,3,1,5,4,3,2,1,5,5,4,5,5,4,4,2,3,4,2,3,3,4,4,4,4,2,4,3,2,1,5,4,5,26,25,27,39,20,33,36,9,66
53,1,23,1,2,3,1,2,4,5,3,4,2,4,3,3,2,3,3,1,2,4,2,2,2,3,5,1,2,2,2,2,2,1,2,3,2,1,1,1,1,4,4,2,2,5,3,3,4,2,2,4,3,2,5,5,3,3,2,2,3,2,2,3,2,1,0,0,0,0,0,0,0,0,1,0,1,5,3,2,3,2,4,1,3,3,4,3,2,2,4,4,2,1,1,2,2,2,3,2,4,3,4,4,3,4,3,2,3,3,4,5,1,2,2,2,2,14,20,22,19,17,39,28,1,41
330,2,53,4,2,2,6,2,3,5,5,5,2,5,4,2,4,4,4,4,4,2,5,1,1,1,4,1,5,1,5,5,1,2,2,1,1,1,3,5,5,7,6,7,2,1,5,5,5,5,1,5,3,3,5,5,4,3,4,3,4,1,4,2,3,3,1,1,1,0,0,0,1,0,0,0,5,4,2,5,5,5,5,5,4,4,5,3,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,5,3,3,1,1,1,2,2,1,2,1,1,1,1,13,11,17,35,23,42,20,4,60
379,2,47,4,1,4,1,2,5,4,5,2,5,2,2,3,3,3,4,3,1,5,3,3,4,3,5,5,4,5,4,4,5,4,3,5,3,5,3,3,2,6,6,6,7,7,5,3,4,5,3,3,3,4,3,2,4,4,1,4,1,4,3,4,1,1,1,1,1,1,1,0,0,1,0,0,2,2,5,5,5,5,2,2,4,5,1,5,4,4,3,3,3,4,2,4,4,3,2,2,2,4,1,3,3,2,4,4,2,4,4,4,4,4,5,3,3,25,20,46,32,32,29,38,6,74
59,2,36,6,1,2,1,2,2,4,3,4,3,4,2,3,2,2,4,2,3,5,4,4,3,4,5,3,4,3,5,3,2,2,4,2,4,2,4,4,4,3,4,4,3,6,3,3,4,3,2,3,2,3,4,3,4,4,2,3,3,3,3,3,3,2,1,1,1,1,1,0,0,1,1,0,2,4,4,2,4,3,3,2,5,4,1,3,3,3,4,4,2,3,2,2,2,3,3,3,3,2,3,4,4,3,3,2,2,2,3,4,2,3,5,2,2,14,21,31,39,20,34,29,7,56
416,1,21,1,2,3,1,2,3,3,3,3,5,2,2,3,3,3,3,3,3,4,4,4,3,2,5,4,5,2,2,5,4,2,4,4,1,4,4,5,5,4,5,5,5,4,3,4,5,5,3,5,4,4,3,3,4,4,1,3,4,4,1,3,3,3,0,1,0,0,0,0,1,0,0,0,5,5,3,4,2,2,5,3,3,2,4,3,2,2,2,2,4,3,3,3,4,3,2,2,2,2,1,3,2,2,4,1,4,2,2,1,1,1,2,4,4,21,17,36,37,23,31,31,2,46
508,2,26,3,1,5,1,2,4,2,4,2,4,2,3,2,2,3,3,1,1,5,3,2,4,1,4,3,1,4,1,2,3,4,1,2,1,4,5,1,1,3,4,5,5,3,4,4,4,3,3,2,4,3,5,4,4,4,1,4,1,3,2,4,3,1,1,1,1,0,0,0,1,0,0,0,2,4,2,4,4,2,3,2,3,3,3,4,2,2,2,2,3,3,4,4,4,2,3,2,4,4,3,3,2,3,4,4,3,2,4,4,2,3,3,4,4,24,20,38,14,20,34,36,4,54
116,2,48,5,1,4,1,2,3,3,3,3,4,2,3,3,3,3,3,3,4,4,5,5,4,1,2,3,5,3,5,5,2,3,5,4,2,3,3,5,3,3,5,5,5,1,5,4,5,3,3,5,3,3,2,4,4,4,2,4,3,3,1,3,2,2,1,1,1,1,1,0,0,0,0,0,5,4,3,3,2,2,4,3,4,4,4,2,1,1,5,5,1,2,3,3,4,2,2,2,2,1,3,3,3,3,3,2,4,3,3,1,2,2,2,1,1,20,15,31,39,19,37,33,5,37
422,2,24,1,2,4,1,2,3,1,4,2,5,1,3,4,2,2,3,3,4,3,5,4,3,1,4,3,5,4,3,3,2,4,4,3,2,3,4,5,5,6,5,7,5,4,3,3,4,3,4,3,3,4,4,4,4,4,1,4,1,3,2,3,2,1,0,1,1,0,0,0,0,0,0,0,3,3,3,4,4,5,3,3,3,4,3,4,2,3,2,2,4,4,5,4,5,2,3,3,2,1,3,2,3,2,4,4,3,3,4,3,3,3,3,4,4,26,18,33,37,27,31,36,2,63
87,1,25,1,2,5,1,2,3,3,4,2,4,3,2,3,1,1,3,2,2,3,1,1,2,2,2,2,2,2,1,3,1,1,1,2,2,2,4,1,1,5,6,5,5,4,1,2,3,4,3,2,5,3,2,1,4,4,1,4,1,3,1,4,2,1,0,1,1,0,1,0,0,1,0,0,2,3,3,3,4,5,3,2,4,3,3,3,3,4,2,2,4,5,3,4,3,3,4,4,3,3,2,3,1,3,4,4,4,3,4,4,3,3,3,4,4,21,23,21,15,25,20,38,4,64
434,2,47,4,1,3,8,2,2,5,2,5,4,4,4,2,3,4,3,3,2,2,4,1,1,1,3,1,2,1,2,4,1,2,1,1,1,1,1,3,3,1,1,1,1,1,3,4,4,3,2,3,4,4,4,3,2,2,2,2,2,1,3,2,4,3,1,1,1,1,1,1,1,1,1,0,2,3,3,3,3,,4,1,1,2,2,4,3,3,4,4,1,3,1,1,2,1,2,1,2,3,3,4,2,2,3,3,2,1,2,4,3,2,4,2,2,12,14,14,22,5,32,20,9,
264,1,18,1,2,3,7,2,4,1,5,1,5,1,1,2,1,1,2,3,1,1,5,4,5,1,5,5,5,1,5,5,1,2,4,1,1,1,5,1,1,7,7,5,7,1,5,4,2,4,3,1,5,3,1,4,4,4,2,3,1,2,4,2,4,2,1,1,1,0,1,1,1,0,0,0,1,1,1,5,2,1,4,1,5,5,5,5,5,5,1,1,1,5,5,5,5,4,4,4,2,4,2,3,1,3,3,4,1,1,3,5,5,2,1,5,5,29,22,27,32,27,26,27,6,64
442,2,24,4,2,4,1,1,2,5,3,5,1,5,3,2,3,3,2,4,4,3,5,4,1,1,1,2,5,1,3,3,1,2,2,2,1,3,2,4,4,2,2,3,1,3,4,4,5,2,2,3,3,2,5,5,3,3,2,3,3,2,4,2,4,2,1,1,1,1,0,0,1,1,1,0,5,5,2,1,1,1,5,1,1,2,5,1,1,1,5,5,1,2,1,1,1,2,2,2,1,1,4,4,3,4,3,2,1,1,3,1,1,1,1,1,1,9,12,18,32,11,41,23,7,21
540,1,36,4,1,4,8,2,3,1,3,1,4,4,2,4,3,1,3,3,2,4,2,1,1,1,3,4,1,3,2,2,1,3,1,1,1,3,4,1,1,5,5,5,7,5,2,1,2,5,4,2,4,5,2,1,4,4,1,3,1,3,3,3,1,1,1,1,1,0,0,0,1,1,0,0,1,4,5,2,5,3,4,4,5,4,1,3,4,3,3,3,3,4,5,5,2,3,2,4,2,3,1,2,2,1,4,4,2,4,4,5,2,2,5,3,3,22,21,27,13,27,16,35,5,65
470,2,49,5,1,2,5,2,4,1,4,1,5,2,2,4,1,2,4,1,1,3,3,1,4,1,3,2,1,3,1,2,2,2,1,2,1,2,1,2,1,5,5,5,5,5,2,2,3,4,4,1,4,4,1,1,3,3,1,3,1,3,2,3,1,1,1,1,1,1,1,0,1,1,0,1,2,2,4,4,4,3,1,4,4,4,2,4,4,4,2,2,4,4,5,5,4,3,4,3,4,4,2,2,2,2,4,4,3,4,4,4,4,5,4,4,4,27,26,24,14,25,18,34,8,72
252,2,21,2,2,5,1,2,4,1,3,1,4,1,1,4,1,1,4,1,3,2,1,1,3,1,3,1,4,2,2,3,1,3,1,3,3,2,2,2,2,6,6,6,6,3,2,2,3,4,4,2,4,4,2,2,4,4,1,4,1,4,1,3,1,1,0,1,1,1,1,0,1,0,0,0,3,2,5,4,4,3,1,2,3,3,4,4,3,4,2,2,3,3,5,5,5,4,4,4,4,2,2,2,2,2,4,4,4,4,4,3,4,5,2,4,4,26,26,22,20,27,21,39,5,63
338,2,45,5,1,4,1,1,2,5,2,5,5,1,3,4,1,1,4,1,2,5,1,1,4,1,5,5,1,5,1,1,5,4,1,4,1,5,4,1,1,1,7,7,7,5,2,2,4,5,4,4,4,4,4,4,4,4,1,1,1,4,1,4,1,1,1,1,1,0,1,1,1,0,0,0,1,3,4,4,4,3,3,4,2,4,4,4,4,3,3,3,3,4,1,1,5,2,4,4,4,3,1,2,2,2,4,4,4,4,4,5,3,3,2,3,3,16,25,46,10,27,27,37,6,62
517,1,18,1,2,3,3,2,3,4,3,2,4,3,3,4,2,4,4,2,2,2,1,1,2,1,3,3,1,2,1,1,1,1,1,3,1,2,2,1,1,3,6,6,5,5,2,3,2,3,2,2,3,3,3,2,4,4,1,4,2,4,2,4,1,1,1,1,1,0,1,0,1,0,0,0,2,3,2,4,4,3,1,4,4,5,3,3,5,4,4,3,2,3,2,4,3,2,3,1,3,3,3,4,3,3,4,3,3,4,4,4,3,5,3,2,3,19,20,21,10,25,27,38,5,63
179,2,45,5,2,4,7,2,2,3,1,3,4,3,1,2,3,2,3,2,2,2,4,4,3,1,2,2,4,2,1,2,1,1,2,1,1,1,1,3,1,6,6,6,6,6,3,3,3,4,3,3,4,4,4,3,3,3,1,3,2,3,3,2,1,1,1,1,1,0,1,0,1,0,1,0,2,2,4,3,3,2,3,3,3,4,2,3,3,2,3,2,4,4,3,3,3,4,2,3,3,3,2,3,2,2,4,3,2,4,4,4,4,3,4,3,4,16,20,16,23,30,28,31,6,60
420,1,69,4,2,2,6,2,4,1,3,3,4,4,2,3,3,3,3,3,3,4,4,4,4,3,4,3,3,3,4,4,1,4,4,2,2,4,4,4,5,6,5,6,3,6,3,4,4,4,4,4,3,3,4,4,4,4,3,3,2,3,3,3,3,2,1,1,1,0,0,1,0,0,0,0,2,3,4,5,4,4,3,3,4,4,4,4,4,5,2,2,2,3,5,3,2,3,2,2,2,2,2,2,3,3,2,3,2,2,3,4,3,3,2,4,4,21,17,33,37,26,33,29,4,66
66,1,59,5,2,2,,2,,5,1,5,1,1,3,1,4,4,1,4,4,2,3,2,1,2,1,1,2,2,1,2,1,2,2,1,3,1,3,3,2,6,2,1,2,1,3,3,3,3,2,3,3,2,4,2,3,4,2,2,2,2,3,1,2,1,1,1,1,0,1,0,0,0,0,1,3,1,3,5,2,2,3,4,4,4,4,2,2,2,4,4,3,3,1,1,5,2,1,1,1,1,3,4,3,4,3,3,2,3,4,3,5,3,2,2,2,,8,15,22,12,32,27,5,53
7,1,33,1,2,5,1,2,4,1,4,1,5,1,2,3,2,2,4,1,4,5,5,2,5,2,4,3,3,2,3,5,5,5,2,5,1,5,5,5,3,1,1,1,1,1,4,3,4,4,3,3,3,3,3,3,4,4,2,4,1,4,1,1,2,2,1,1,1,1,1,1,0,0,0,0,3,5,3,3,4,3,5,3,2,3,3,3,3,3,3,3,3,3,5,5,5,3,3,3,4,1,2,3,3,3,3,4,4,3,3,3,1,1,3,3,3,28,21,44,31,5,31,34,6,
404,2,24,1,2,5,1,2,4,1,4,1,5,1,2,4,2,1,3,2,1,5,1,1,4,1,5,5,1,5,1,1,3,3,1,4,1,5,5,1,1,6,7,7,5,6,1,1,2,5,5,1,4,5,1,1,4,4,1,4,1,4,1,4,1,1,0,1,1,1,1,0,1,1,0,1,4,1,5,4,4,4,1,4,4,4,1,4,3,4,2,1,4,4,5,5,5,3,3,4,3,4,1,1,2,1,4,4,4,4,4,2,5,5,5,4,5,28,24,44,10,31,12,40,7,74
331,1,22,3,2,2,8,1,2,4,2,5,2,5,3,4,1,1,4,2,4,4,1,1,3,2,5,4,2,3,3,2,4,4,2,5,2,5,3,1,1,2,2,3,2,2,3,3,4,2,2,4,4,3,4,3,3,3,2,4,3,2,4,2,4,4,0,1,1,0,0,0,0,0,0,0,2,4,3,4,5,1,4,4,2,2,4,2,2,1,3,1,2,4,2,1,1,2,4,4,3,1,4,4,2,3,3,2,1,1,1,4,2,2,2,3,5,10,22,40,17,11,34,22,2,50
336,2,43,5,2,5,1,2,2,4,3,3,4,2,3,3,3,3,3,1,2,4,3,1,2,2,4,3,3,4,2,2,1,4,1,1,2,2,3,1,1,2,6,4,3,4,4,3,3,3,2,4,2,2,4,4,3,3,1,3,1,3,1,3,2,3,1,1,1,0,0,1,1,1,0,1,3,3,3,3,2,2,1,1,1,3,1,1,2,1,3,1,1,3,2,3,4,2,2,2,4,3,3,4,4,4,4,4,4,3,2,3,3,5,5,3,5,18,19,28,18,19,37,32,7,47
5,2,48,4,2,3,3,2,5,1,5,1,5,1,1,4,1,3,4,1,1,4,1,1,5,1,5,4,1,4,1,1,4,4,1,3,1,4,4,1,1,4,6,6,3,3,1,1,1,5,4,1,5,5,2,1,4,4,1,4,1,4,1,4,1,1,1,1,1,1,1,0,1,1,0,0,2,1,5,5,5,5,1,5,5,5,2,5,4,4,1,1,5,5,5,5,5,4,4,2,4,4,1,2,1,1,4,4,4,4,4,4,5,5,4,5,5,30,26,41,10,22,12,40,7,
291,2,30,1,2,4,1,1,3,3,3,3,4,3,3,3,2,1,3,3,2,4,3,2,4,2,4,5,2,5,3,2,5,4,2,3,2,4,5,4,4,4,5,4,4,3,3,3,4,3,3,4,3,2,4,4,3,4,2,3,2,3,2,3,3,3,1,1,1,1,1,0,0,1,0,0,2,5,1,2,3,2,3,2,3,2,4,2,2,2,4,3,2,2,3,3,3,2,3,4,2,3,3,3,3,4,3,3,3,2,2,4,1,3,2,2,3,19,20,43,26,20,35,29,6,40
79,2,46,5,1,3,9,2,3,5,5,5,4,3,3,4,4,4,4,2,3,3,4,2,1,1,4,5,2,3,4,4,5,4,1,5,1,5,5,5,5,6,6,6,6,6,4,5,5,4,5,5,3,4,5,5,4,4,1,4,2,3,4,3,4,3,1,1,1,1,1,0,1,1,1,0,2,1,5,4,5,3,1,4,5,4,5,2,2,1,1,1,1,3,1,1,3,2,1,1,3,2,2,1,3,2,4,3,1,1,2,4,5,5,1,5,5,17,17,40,29,30,37,29,8,64
342,1,24,2,2,5,3,2,2,3,3,2,3,2,2,3,3,2,4,4,3,4,5,4,2,3,2,1,4,4,3,4,2,2,4,3,4,1,1,4,1,3,3,2,3,1,3,4,4,3,2,4,3,2,4,3,4,4,2,3,3,3,3,2,3,3,0,0,1,1,0,0,0,0,0,0,4,2,4,3,3,2,4,2,5,4,5,2,4,2,2,2,3,4,3,4,4,3,2,3,1,2,3,4,3,4,3,2,2,2,2,2,4,2,1,4,4,19,18,22,36,12,36,27,2,55
219,1,63,4,2,5,4,2,2,1,4,1,5,1,2,3,1,2,3,1,1,5,1,1,3,1,4,4,1,3,1,1,1,3,1,1,1,3,3,1,1,2,6,5,5,2,3,1,1,5,4,2,5,5,2,1,4,4,1,4,1,4,2,4,1,1,1,1,1,0,0,0,1,1,1,1,1,1,5,5,4,3,1,3,5,5,1,3,5,2,1,1,4,5,5,5,5,3,4,3,4,4,1,2,1,1,4,4,3,4,4,5,5,5,5,5,5,26,24,30,10,20,15,39,7,79
85,2,20,1,2,4,6,2,3,5,4,4,2,4,4,2,2,2,2,4,3,2,4,3,2,2,3,4,3,2,2,4,2,2,3,2,3,3,2,2,2,1,2,1,1,1,4,4,4,2,1,4,2,2,4,4,2,2,2,2,2,1,2,1,4,4,1,1,1,1,1,0,0,0,0,0,4,3,2,2,2,3,3,4,3,3,4,4,3,3,3,2,3,3,1,2,2,1,3,3,1,2,4,5,4,4,3,3,3,1,1,2,3,3,2,3,4,14,14,24,28,6,41,19,5,52
11,2,22,2,2,5,1,2,1,4,1,4,2,4,3,4,3,1,3,3,2,5,4,4,2,2,5,3,4,2,5,4,4,3,5,4,4,3,3,2,2,4,3,3,5,5,4,4,3,2,3,3,2,2,5,3,4,3,2,3,2,1,4,2,4,4,1,1,1,0,0,0,0,0,0,0,4,4,3,2,3,2,4,2,2,3,3,3,1,2,4,3,2,2,2,2,2,2,2,4,2,3,4,3,4,4,3,3,1,1,1,2,2,2,3,2,3,10,20,34,36,20,37,22,3,41
